Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Region,IncomeGroup,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,SpecialNotes
Armenia,ARM,Europe & Central Asia,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,24409.61,25008.97,14821.08,8584.578,6026.946,6638.24,5574.685,6192.468,6119.394,5616.987,5990.513,6101.525,5773.022,6201.744,6592.249,7316.804,7716.873,8366.114,8885.963,7743.792,7561.357,8203.352,9199.711,9141.848,9132.75,9155.671,9414.462,9250.183,9442.624,9963.242,,,,
American Samoa,ASM,East Asia & Pacific,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,353.008,366.21,445.265,421.319,427.023,453.079,478.353,512.816,559.982,582.1,601.548,644.671,702.638,739.654,749.274,779.844,849.997,907.645,961.377,1917.101,1029.57,1088.105,1258.904,1046.677,1061.611,1086.616,1124.39,1151.241,1186.174,1217.041,,,,
Australia,AUS,East Asia & Pacific,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,486998.6,486990.8,487651.8,489813.7,495782.4,503549.2,500983.9,507311.1,536324.2,572759.9,596963.5,624780.4,619278.9,539306.3,597431.8,560379,603113.2,606470.8,578946.5,593596.9,566440.8,668341.9,667437.1,580875.3,597268.1,596976.3,574453,623270.5,617394.1,585981.2,,,,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Austria,AUT,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,76613.11,80888.64,75073.58,74997.96,75070.89,77551.54,81328.26,80284.97,80281,78469.79,78652.6,83003.43,84334.77,89448.28,90274.83,90351.17,88095.24,85058.36,84624.48,77709.74,83505.9,81532.29,78326.86,78869.39,75150.36,76339.48,76725.84,78653.98,75438.5,76917.89,,,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,75682.81,73242.61,82315.25,61692.75,42365.89,41483.79,35907.07,35408.07,35791.75,36014.61,37735.56,37190.5,37251.78,39942.95,40075.72,42873.55,44717.67,43293.94,47648.93,43134.2,42019.35,44840.7,48050.13,49259.02,50622.86,50518.14,50858.58,50244.41,51691.29,54803.1,,,,
Burundi,BDI,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1804.492,1866.982,1859.099,1840.628,1738.046,1798.951,1797.145,1847.772,1876.366,1929.827,1986.306,1962.7,1952.249,1942.384,2000.966,2060.377,2199.969,2275.814,2404.352,2552.021,2875.625,3119.105,3199.02,3599.048,3587.4,3616.525,4002.196,4617.273,4870.014,4559.564,,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1983-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Belgium,BEL,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,130771.8,135686.4,133733,131535.7,136893.2,137057.2,142410.2,139226.4,141989.5,138140.4,138253.8,138681.8,131361.7,134748.6,133303.1,129552.5,126552.8,121886.1,124141.7,117171.5,124744.6,113131.6,111910.4,112891.2,106510.4,111425.6,110377.6,108311.6,109056.5,108064.9,,,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries."
Benin,BEN,Sub-Saharan Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,4184.596,4286.22,4369.98,4417.564,4683.91,4478.266,5833.683,6298.355,6529.266,6539.533,7029.308,6504.777,7532.381,7495.746,7589.347,8615.79,8910.96,9651.114,9404.356,10033.28,10476.62,10547.07,10526.99,11163.72,11697.1,12119.52,13819.22,13974.04,15090.01,15016.64,,,,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,11989.03,12426.52,12717.07,12969.49,13422.13,13809.44,13836.48,14467.68,14694.35,15007.92,16130.01,15386.77,16089.42,19538.81,20082.49,20714.4,20677.94,21314.29,22210.57,22898.14,24488.47,24990.31,25703.4,26650.04,27152.52,28042.42,29419,30363.21,31150.55,32209.46,,,,
Bangladesh,BGD,South Asia,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,94243.66,94451.5,96595.22,98049.32,100665.2,105826.6,106378.3,108647.3,108689.7,112938.8,115459.3,120441.8,124196,126101.8,128187.4,133111,138887.2,142168.2,150854.2,155004.1,163176.2,168957,172835,176776.3,181854.5,192176.2,193958.7,203075.9,208004.1,215942.7,,,,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY)."
Bulgaria,BGR,Europe & Central Asia,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,98221.79,81226.78,75409.9,73969.76,70019.56,71235.92,71803.25,68720.98,65136.43,58327.96,57755.76,60135.05,57449.51,62315.87,61068.87,61056.42,61010.64,65183.91,62805.78,55317.36,56962.7,62844.26,57106.48,51956.02,54543.95,57255.09,54193.29,56429.91,53228.67,51283.43,,,,
Bahrain,BHR,Middle East & North Africa,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,15727.03,15353.83,17555.77,18557.19,19027.88,19740.8,20995.25,22003.98,23765.84,24365.34,25441.79,26283.13,27485.42,28554.93,28801.15,32092.4,34583.44,35787.81,38297.57,38844.26,40810.21,41507.01,43131.83,45927.52,48028.99,48874.51,49347.79,50244.29,51155.76,54408.02,,,,
"Bahamas, The",BHS,Latin America & Caribbean,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,2135.765,2209.471,2742.117,2270.746,2244.768,2387.997,2261.945,2059.373,2563.805,2529.512,2429.222,2430.131,2618.585,2597.806,2504.305,2350.706,2347.31,2374.704,2480.6,6438.78,2359.196,2870.917,3839.584,3115.667,2819.23,2516.202,2357.801,2501.464,3121.243,3162.154,,,,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,30257.64,27537.58,20213.64,16793.14,6366.404,6277.257,7317.102,12221.02,14987.31,14986.06,18649.15,18358.08,18513.12,19019.5,20101.14,20799.01,22690.06,23854.04,25770.69,26035.02,26063.38,29176.29,27390.82,27184.57,24668.49,24885.65,27466.87,27734.79,27747.59,26230.78,,,,
Belarus,BLR,Europe & Central Asia,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,137857.9,132813.6,119059.1,106267.7,93099.06,84964.82,85744.3,86097.81,84029.31,81519.53,78896.77,77606.86,77027.65,78214.07,82203.82,83072.29,86304.93,85087.53,89337.36,86410.44,91028.3,88097.03,89626.18,90112.99,89288.45,84740,83891.27,85377.9,88207.33,86834.95,,,,"Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)"
Belize,BLZ,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,6543.989,6757.548,6977.369,7043.006,7149.592,6063.775,4894.594,3938.067,2880.014,1786.063,751.205,856.104,938.275,1011.713,818.483,879.587,971.546,1070.387,1081.469,2134.419,1269.574,1430.633,1403.505,1291.631,1278.563,1479.332,1490.85,1493.059,1482.139,1545.762,,,,
Bermuda,BMU,North America,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,31223.38,32357.18,33164.45,31852.52,31084.3,29670.13,29330.81,31341.7,31320.35,31758.41,31739.46,31650.72,34337.75,35099.95,38117.36,40498.97,41483.07,42891.64,44358.9,45172.55,50516.03,50825.48,52624.11,54952.34,56202.72,57540.41,59791.07,60180.58,60249.52,60785.47,,,,
Brazil,BRA,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,590336.3,611487.5,621448.8,632775.7,649594.9,676200.3,679294,708065.2,732054.7,748826.6,767749.7,792376.5,820652.2,835740.8,880984.5,891000.8,890572.8,914650.6,929708.6,905868.9,991494.8,1010712,1049937,1080708,1118100,1095301,1063567,1079305,1046575,1057259,,,,
Barbados,BRB,Latin America & Caribbean,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,3107.613,3143.155,3380.085,3230.777,3304.666,3360.544,3366.53,3476.01,3590.063,3638.852,3586.228,3655.821,3705.192,3717.675,3713.304,3755.692,3813.57,3837.446,4152.58,6997.437,3945.485,4173.752,4550.591,3887.132,3728.607,3740.448,3781.224,3687.714,3760.876,3793.393,,,,
Brunei Darussalam,BRN,East Asia & Pacific,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,4673.966,4886.546,5174.206,5593.834,5890.526,6265.725,6468.668,6897.661,6125.783,6208.903,6611.851,6552.172,6563.472,7579.892,7179.69,7018.366,9766.185,9285.189,10146.99,9920.031,9237.002,9483.271,9451.683,9237.888,9131.403,8391.932,9033.745,9503.619,9812.384,9296.374,,,,
Bhutan,BTN,South Asia,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,761,810,767.437,774.448,783.138,866.767,882.937,876.748,875.549,910.787,883.026,846.614,862.481,881.097,917.552,1031.005,1015.171,1027.436,924.025,992.983,1067.847,1259.446,1305.263,1337.126,1341.264,1386.158,1557.96,1607.121,1678.873,1675.716,,,,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,13044.78,12453.78,12692.96,12346.09,12580.78,13478.03,14622.55,14210.12,13852.7,13889.17,13696.45,15580.46,15921.09,8794.122,9378.462,10785.44,12605.02,10860.9,19589.01,10513.4,20951.81,25805.66,13099.92,14048.5,12766.47,12193.27,11095.76,14886.56,12677.7,11003.76,,,,
Central African Republic,CAF,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,16866.3,17179.53,17230.16,17274.72,19774.63,19903.29,21914.44,22093.63,24131.03,21800.46,24763.74,20940.25,18694.25,23804.6,21190.33,22229.21,22371.44,22740.85,23880.15,19340.26,21495.21,22799.66,19915.57,21100.97,20645.51,21009.23,22856.7,21352.63,21908.22,19725.46,,,,
Canada,CAN,North America,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,540382.5,536288.1,550629.6,546631,564717,579707.5,597667.7,611934.9,620147.8,625312.4,644891,636841.3,657762.6,679154.5,676032.2,690539.5,679222.2,712792.9,688188.3,653136.4,669979.2,686500.6,686650.5,698684,706322.4,704481.4,704747.6,721006.2,737993,736928.2,,,,Fiscal year end: March 31; reporting period for national accounts data: CY.
Central Europe and the Baltics,CEB,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,1236190.94,1138714.05,1060740.58,1028910.05,999665.99,1002150.69,1026522.23,998005.85,941658.17,894256.76,885204.98,895650.79,877039.53,909109.2,910345.9,909879.91,928096.22,937257.41,917976.48,850503.36,876364.91,875510.72,847467.95,819534.34,798349.86,810819.49,821894.08,844862.85,836726.15,803134.63,,,,Central Europe and the Baltics aggregate.
Switzerland,CHE,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,52782.87,55001.69,54928.22,52571.54,51701.71,52631.47,53248.35,51793.78,53350.35,53482.79,52733.54,54341.7,52711.97,53952.96,54450.74,55169.59,54887.48,52961.47,54586.72,53141.42,54717.24,50604.45,51906.62,52932.38,49122.22,48346.67,48854.84,47875.41,46613.58,46498.64,,,,
Channel Islands,CHI,Europe & Central Asia,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Latin America & Caribbean,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,45262.85,44220.92,45717.87,48270.08,52273.66,56173.91,62720.37,69815.58,70918.98,73777.18,69917.43,67801.8,68405.09,69155.16,74537.81,75133.64,76420.97,84149.83,88877.24,86488.09,91660.08,98096.15,100542.5,103821.7,96454.36,102127.5,106589.8,107511.7,107691.5,113018.9,,,,
China,CHN,East Asia & Pacific,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,3240289,3387708,3516609,3746364,3905933,4309242,4330228,4325695,4443771,4376499,4568808,4761564,5068783,5718044,6503953,7266526,7946143,8555800,8810967,9386580,10218510,11098190,11385460,11878030,11938030,11818470,11800830,12035270,12471090,12705090,,,,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong, and on 20 December 1999, China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.

The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1978-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,9303.522,12016.23,14644.99,17328.03,20157.85,20865,21648.53,23161.76,23525.57,25715.78,25867.09,25629.04,26040.73,23327.97,21706.74,22980.37,21910.38,21283.3,20955.09,19526.81,19213.43,18882.19,20485.81,21980.64,21882.1,22650.12,23966.51,24350.12,24091.31,24857.53,,,,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,19518.92,27650.16,27444.16,25137.3,78457.54,78483.91,79219.49,79857.95,81374.45,81391.96,83522.1,82543.39,82308.71,83824.84,82140.13,83538.24,82385.31,83127.54,83037.53,83319.8,83645.13,83347,83793.74,85416.98,86550.24,87952.87,89084.81,88959.15,89923.55,90124.86,,,,
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,38109.97,36729.79,36877.13,38379.85,39861.37,39921.17,35499.74,35489.44,36505,34620.88,34012.9,36105.7,41519.93,44996.36,46860.84,46985.38,47968.04,45582.99,47616.14,47665.96,49216.15,48644.53,47366.22,50856.45,52793.77,52542.34,52452.48,55500.47,53899.46,55004.82,,,,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1999-2004. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors."
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,9661.186,9649.185,9829.86,9284.84,8242.933,9162.445,9186.025,9793.01,11248.42,11680.32,12050.55,11771.47,9553.592,10940.17,11675.24,13756.64,15180.54,13085.44,13530.44,14510.68,16243.48,16077.4,15460.71,15151.89,14561.5,15250.72,14968.42,15421.62,18021.27,19197.98,,,,
Colombia,COL,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,123407.4,124819.2,127939.7,132798.8,135311.7,139333.3,139519.5,145170.2,147133.5,135844.1,139620.6,141919.6,140054.9,141601.1,142877.1,145270,146380.1,151338.8,152474.5,156176.9,161137.6,165079.9,163946.5,170901,174362.9,175226.2,178211.3,173311.5,181521.1,187338.9,,,,
Comoros,COM,Sub-Saharan Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,258.044,261.775,267.269,274.55,277.585,283.66,287.912,295.617,311.166,321.167,304.267,323.112,328.177,348.064,364.269,363.374,404.568,323.944,350.056,378.22,418.013,416.576,435.206,472.626,459.609,477.61,518.513,586.295,617.621,642.765,,,,
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,225.212,238.368,272.996,278.187,261.49,296.347,278.882,293.574,321.283,352.812,374.468,405.415,441.768,470.148,509.114,614.956,675.502,633.386,651.178,698.788,737.442,726.807,692.184,672.969,669.78,676.657,722.501,747.095,773.613,808.743,,,,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,8515.254,8807.623,9950.385,10036,10447.06,10040.15,10025.79,10063.18,10762.26,10584.38,10436.96,10745.27,10779.51,11133.51,11159.59,11700.93,12034.85,13398.65,13584.4,13140.51,13252.81,13959.6,13914.72,14411.23,14455.99,14317.07,15233.7,15480.05,15757.88,15745.71,,,,
Caribbean small states,CSS,,,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,49978.837,50818.868,52983.15,48534.203,45755.585,45297.979,45486.004,45262.805,45764.34,45510.614,44139.887,46406.304,48012.62,52775.162,53742.198,55602.063,60426.497,61594.897,59720.162,68938.331,60257.351,62819.839,64580.112,63674.211,63690.121,62862.787,60021.544,59632.881,61640.144,62361.099,,,,
Cuba,CUB,Latin America & Caribbean,Upper middle income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,54793.93,45603.92,39441.98,36004.3,37442.67,38589.09,41265.1,43501.1,43018.47,43537.46,43927.42,43059.67,41899.3,41071.3,40412.64,40441.33,41489.28,42568.9,41942.57,42670.26,43729.74,43771.1,44826.94,45178.43,43211.49,45171.67,43139.05,41794.54,42275.15,41237.37,,,,
Curacao,CUW,Latin America & Caribbean,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Latin America & Caribbean,High income,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
